Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18
2,0,0,0,0,0,0,0,0,0,1,0,3,4,14,65,122,255,433
3,0,0,0,0,0,0,0,0,0,0,0,3,11,25,60,132,332,642
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18,39,97
5,0,0,0,0,0,3,5,9,11,22,38,0,55,103,118,265,379,616
6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,56,115,181
7,0,0,0,0,6,8,10,22,34,56,72,86,0,224,278,0,600,754
8,0,0,0,0,0,0,0,0,4,8,14,23,30,28,165,294,525,825
9,0,0,0,0,0,0,0,9,0,13,18,24,34,38,61,95,217,419
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,32,137
11,0,0,0,0,0,0,0,3,5,8,7,11,12,21,38,100,227,441
12,0,0,0,0,0,0,0,0,0,1,2,4,10,13,50,89,213,343
13,0,0,0,0,15,18,0,30,35,36,41,65,96,143,277,401,792,756
14,0,0,0,0,0,0,0,0,1,3,9,18,30,40,79,178,280,439
15,0,0,0,0,0,0,0,0,4,10,17,29,42,74,150,226,313,400
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,28
17,0,0,0,0,0,0,0,0,0,0,0,6,12,59,231,336,431,574
18,0,0,0,0,0,0,0,0,0,1,1,2,5,8,21,30,64,117
19,0,0,0,0,0,0,0,0,0,3,15,40,61,122,274,423,584,807
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,32,92
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,123,207
22,0,0,0,0,0,3,4,2,6,8,10,9,13,37,77,141,277,483
23,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,16,20,49
24,0,0,0,0,0,0,0,0,0,0,0,5,8,16,50,97,176,271
25,0,0,0,0,0,0,0,0,3,7,9,12,16,35,101,158,199,290
26,0,0,0,0,0,0,0,0,0,0,0,0,5,10,30,62,139,221
27,0,0,0,0,0,0,0,0,0,0,0,1,2,0,11,31,89,148
28,0,0,0,0,0,0,0,0,1,2,7,18,27,62,110,167,359,511
29,0,0,0,0,0,0,1,4,6,10,14,22,32,50,140,230,452,497
30,0,0,0,0,0,0,0,0,0,1,2,4,7,12,17,26,59,108
31,0,0,0,0,0,0,1,0,6,11,14,16,18,0,54,87,224,453
32,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,68,160,309
33,0,0,0,0,0,0,0,2,5,7,11,16,36,78,153,256,362,547
34,0,0,0,0,0,0,1,9,22,35,52,73,119,157,218,266,414,705
35,0,0,0,0,0,0,0,1,5,7,11,13,14,19,40,92,270,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,51,204,302
37,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,28,66,134
38,0,0,0,0,0,0,0,0,0,0,2,3,5,13,26,56,117,286
39,0,0,0,0,0,0,0,0,0,0,0,2,12,21,44,93,280,480
40,0,0,0,0,0,0,2,4,7,10,15,30,40,71,116,208,456,814
41,0,0,0,0,0,0,0,0,3,5,0,14,30,89,200,297,498,0
42,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,27,82,236
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,103,237
44,0,0,0,0,0,0,0,1,2,3,4,7,11,39,73,139,224,432
45,0,0,0,0,0,0,0,0,0,0,1,2,10,17,22,34,120,366
46,0,0,0,0,0,0,0,0,0,0,0,3,6,8,18,48,113,233
47,0,0,0,0,0,0,0,0,0,0,0,2,9,26,57,0,109,216
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17
49,0,0,0,0,2,2,2,3,3,6,7,9,15,28,61,102,218,350
50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,22,75,162
51,0,0,0,0,0,0,0,0,0,0,1,6,7,7,11,24,98,234
52,0,0,0,0,0,0,0,0,2,4,9,10,15,25,62,85,172,223
53,0,0,0,0,0,0,0,2,4,8,14,19,29,52,87,142,292,576
54,0,0,0,0,4,5,7,11,19,30,40,72,106,182,301,311,580,1196
55,0,0,0,0,0,0,0,2,7,15,21,34,53,86,187,257,386,577
56,0,0,0,0,0,0,0,0,7,0,2,4,6,14,67,0,94,399
57,0,0,0,0,0,0,0,0,2,5,8,14,21,54,121,194,279,494
58,0,0,0,0,0,0,1,2,2,4,5,8,22,62,165,251,459,793
59,0,0,0,0,0,0,0,0,0,0,0,4,11,12,53,95,301,515
60,0,0,0,0,0,0,0,0,0,3,6,10,23,56,179,275,0,722
62,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,18,27
63,0,0,0,0,0,0,0,0,0,0,0,0,4,29,66,122,195,315
64,0,0,0,0,0,0,0,6,5,5,11,19,51,86,139,195,335,576
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,41,116,300
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,18
67,0,0,0,0,0,0,0,0,2,2,3,3,3,10,23,33,61,252
68,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,34,57,148
69,0,0,0,0,0,0,0,0,0,0,0,3,10,19,35,61,166,351
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,75
71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,33,175
72,0,0,0,0,0,0,0,0,2,7,15,22,34,97,164,251,353,500
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,20,77
74,0,0,0,0,0,0,1,0,10,11,12,16,22,43,109,206,402,628
75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,32,78
76,0,0,0,0,0,0,0,0,1,4,7,19,0,70,164,226,394,353
77,0,0,0,0,0,0,0,0,0,2,4,12,22,47,89,0,136,410
78,0,0,0,0,0,0,1,0,20,30,42,64,90,152,207,330,403,581
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,156
80,0,0,0,0,0,0,0,0,0,0,2,9,16,29,68,135,289,732
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,21,0
83,0,0,0,0,0,0,0,0,1,3,6,10,15,19,49,81,148,178
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,90
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,40,102
87,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,9,27,61
88,0,0,0,0,0,0,0,0,0,0,1,5,14,22,42,63,151,0
89,0,0,0,0,0,0,0,3,10,15,25,38,60,109,244,344,499,738
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,83
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
92,0,0,0,0,0,0,1,8,24,42,73,89,119,190,284,343,622,792
93,0,0,0,0,0,0,0,1,12,20,28,44,60,104,120,200,269,327
94,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,25,37,43
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12
97,0,0,0,0,3,3,4,4,5,7,10,20,27,47,100,0,148,391
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,137,289
99,0,0,0,0,0,0,0,0,1,5,9,16,23,67,0,0,386,809
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15
101,0,0,0,0,0,0,4,0,31,38,47,61,91,185,438,404,537,581
102,0,0,0,0,0,0,0,0,1,1,1,6,21,36,117,131,455,679
103,0,0,0,0,0,0,0,0,0,0,1,5,8,23,72,122,238,351
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55
106,0,0,0,0,0,0,1,4,9,14,17,21,24,34,71,0,90,459
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,22
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,64
109,0,0,0,0,0,0,0,0,0,0,0,1,10,14,62,142,290,633
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,33,156
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,61
113,0,0,0,0,0,0,0,0,0,0,1,2,2,6,44,91,291,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,99,175
116,0,0,0,0,0,0,0,3,0,14,18,23,32,58,143,0,203,504
117,0,0,0,0,0,0,0,0,0,0,1,4,10,16,32,199,142,199
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,28,117
120,0,0,0,0,0,0,0,4,11,17,29,53,86,151,274,0,448,773
121,0,0,0,0,0,0,0,0,0,1,2,4,9,10,25,53,128,174
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,50,99
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,69,117
124,0,0,0,0,0,0,0,0,0,0,0,0,7,21,41,80,193,339
