Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
2,0,0,0,0,0,1,0,1.5,1.33,2.33,4.64,8.13,12.75,20.62
3,0,0,0,0,0,0,0,3,5.5,6.25,8.57,11,16.6,16.05
4,0,0,0,0,0,0,0,0,0,2,2.25,3.6,3.25,5.11
5,0,3,5,9,5.5,4.4,7.6,0,11,12.88,9.83,13.95,11.48,11.62
6,0,0,0,0,0,0,0,0,0,2.25,5.4,8,10.45,10.65
7,6,8,5,7.33,8.5,11.2,14.4,21.5,0,22.4,39.71,0,21.43,31.42
8,0,0,0,0,2,2.67,3.5,5.75,5,9.33,12.69,18.38,15,17.19
9,0,0,0,3,0,3.25,4.5,4.8,6.8,5.43,5.08,9.5,9.86,13.97
10,0,0,0,0,0,0,0,0,0,0,1,1.25,4,9.79
11,0,0,0,3,5,8,7,11,4,4.2,6.33,8.33,10.81,12.25
12,0,0,0,0,0,1,2,4,10,6.5,12.5,12.71,11.83,10.72
13,3.75,4.5,0,6,5.83,7.2,5.86,5.42,6.86,7.52,10.65,11.79,13.42,19.89
14,0,0,0,0,1,1.5,4.5,9,10,20,26.33,11.12,14,10.71
15,0,0,0,0,1.33,3.33,3.4,4.83,6,10.57,12.5,13.29,12.04,13.79
16,0,0,0,0,0,0,0,0,0,0,1,2,2.33,4
17,0,0,0,0,0,0,0,2,2.4,7.38,16.5,21,17.24,28.7
18,0,0,0,0,0,1,1,2,1.67,2,2.62,3,4.27,6.88
19,0,0,0,0,0,1.5,3.75,6.67,8.71,9.38,14.42,19.23,15.37,14.16
20,0,0,0,0,0,0,0,0,0,0,2,12,8,7.67
21,0,0,0,0,0,0,0,0,0,0,3.67,6.5,20.5,13.8
22,0,3,4,2,3,4,3.33,2.25,4.33,4.11,6.42,8.81,9.55,10.28
23,0,0,0,0,0,0,1,1.5,2.5,4,5.5,8,4,5.44
24,0,0,0,0,0,0,0,1.67,2,2,4.55,6.47,9.26,14.26
25,0,0,0,0,3,7,9,12,8,8.75,16.83,19.75,14.21,20.71
26,0,0,0,0,0,0,0,0,5,3.33,6,10.33,15.44,14.73
27,0,0,0,0,0,0,0,1,2,0,2.75,4.43,11.12,13.45
